Recieved	Income Paid	Confirmed	Checked	Refunded	Net_rate
2422423.36	2350091.28	1886690.20	2524972.41	2524972.41	2524972.41	18.1
358877.00	64080.00	305045.45	358877.00	358877.00	358877.00	15
162358.00	182419.60	129886.40	162358.00	132665.00	132665.00	20
239366.00	239366.00	191981.11	239366.00	239366.00	239366.00	19.8
238217.00	238217.00	184475.24	238217.00	238217.00	238217.00	22.56
335667.00	335667.00	261825.63	335667.00	335667.00	335667.00	22
204344.00	204344.00	159582.86	204344.00	204344.00	204344.00	21.9
43781.00	43781.00	33904.00	43781.00	43781.00	43781.00	22.56
110099.38	140922.44	85260.96	110099.38	110099.38	110099.38	22.56
27091.00	37977.30	22062.91	27090.95	27090.95	27090.95	18.56
0	27347.10	13400.00	14391.00	14391.00	14391.00	18.559
438626.00	506286.60	350900.80	438626.00	438626.00	438626.00	20
45557.07	49262.00	21018.87	25455.45	45557.07	45557.07	31.53
36601.30	45419.00	16716.49	30686.08	36601.30	36601.30	31.53
37204.80	49200.00	16754.09	16660.74	37204.80	37204.80	31.53
255995.81	259768.93	185161.77	255995.81	255995.81	255995.81	27.67
471944.15	478036.84	341357.20	471944.15	471944.15	471944.15	27.67
39289.00	39289.00	28391.62	39289.00	39289.00	39289.00	27.74
376114.64	406714.11	295677.56	376114.64	376114.64	376114.64	21.39
117763.60	117763.00	91996.92	117763.00	117763.00	117763.00	21.88
33553.00	33553.00	26197.61	33553.00	33553.00	33553.00	21.92
209160.00	209160.00	163330.37	209160.00	209160.00	209160.00	21.91
151028.01	162400.00	103408.88	151028.01	151028.01	151028.01	31.53
67413.80	74624.00	46158.23	67413.80	67413.80	67413.80	31.53
0	145839.00	33932.52	3769.02	161808.04	132816.04	31.53
46622.95	51747.00	31922.73	46622.95	46622.95	46622.95	31.53
53224.86	68702.00	36443.06	53224.86	53224.86	53224.86	31.53
62201.20	81821.00	42589.16	62201.20	62201.20	62201.20	31.53
43751.97	48110.00	29956.97	43751.97	43751.97	43751.97	31.53
0	56885.00	31813.56	47173.13	47173.13	47173.13	31.53
75996.66	96633.00	52034.91	75996.66	75996.66	75996.66	31.53
22192.98	22760.00	15195.53	22192.98	22192.98	22192.98	31.53
118636.49	120321.00	81230.40	118636.49	118636.49	118636.49	31.53
0	348450.00	235962.75	116510.00	116510.00	106950.00	23.23
231457.44	231457.44	171756.84	231457.44	231457.44	231457.44	25.79
253020.18	150000.00	191042.00	253020.18	243902.31	193902.31	22.16
51115.05	51115.05	39931.07	51115.05	51115.05	51115.05	21.88
410617.90	300000.00	281150.08	410617.90	410617.90	410617.90	31.53
49253.16	49253.16	38476.56	49253.16	49253.16	49253.16	21.88
27875.78	51380.00	18799.42	27875.78	27875.78	27875.78	32.56
111647.22	54000.00	94160.58	111647.22	111647.22	111647.22	15.66
664280.61	180000.00	518936.01	664280.61	664280.61	664280.61	21.88
62279.00	62279.00	48652.35	62279.00	62279.00	62279.00	21.88
485544.00	485544.00	340756.08	485544.00	485544.00	485544.00	29.82
72787.00	72872.00	49932.68	72787.00	72787.00	72787.00	31.4
515749.00	515749.00	412599.20	515749.00	515749.00	515749.00	20
33984.00	33984.00	23268.84	33984.00	33984.00	33984.00	31.53
78244.00	123650.00	55066.04	78244.25	78244.25	78244.25	29.62
202667.00	202667.00	158323.46	202667.00	202667.00	202667.00	21.88
120272.00	120272.00	93956.48	120272.00	120272.00	120272.00	21.88
472270.00	472270.00	371546.87	472270.00	472270.00	472270.00	21.33
177433.00	177433.00	138014.48	177433.00	177433.00	177433.00	22.22
185000.00	185000.00	144522.00	185000.00	185000.00	185000.00	21.88
96314.60	96314.00	75240.49	96314.00	96314.00	96314.00	21.88
158111.96	158111.96	114362.38	158111.96	158111.96	158111.96	27.67
33129.00	35551.00	23941.49	33129.00	33129.00	33129.00	27.73
68103.16	68103.16	49259.01	68103.16	68103.16	68103.16	27.67
145941.00	145941.00	105559.56	145941.60	145941.60	145941.60	27.67
85511.83	85511.83	61732.01	85511.83	85511.83	85511.83	27.81
245470.35	245470.35	191817.56	245470.35	245470.35	245470.35	21.86
87703.03	87703.00	65262.76	87703.03	87703.03	87703.03	25.59
107981.22	107981.22	78060.04	107981.22	107981.22	107981.22	27.71
12405.17	12405.17	9690.90	12405.17	12405.17	12405.17	21.88
7212.32	7212.32	5634.26	7212.32	7212.32	7212.32	21.88
117247.96	145575.40	93851.36	117247.96	117247.96	117247.96	19.95
1149073.75	1184858.74	903482.10	0	912102.00	912102.00	21.01
18263.00	18263.00	9715.92	16436.70	12784.10	12784.10	24
0	68124.00	30682.00	71152.20	71152.20	40874.00	20.43
326541.00	360360.00	263006.40	328758.00	328758.00	326541.00	20.53
752094.00	1002360.00	537551.18	902124.00	852754.00	651858.00	20.33
78790.00	510000.00	121860.00	153000.00	153000.00	0	20.15
0	316000.00	206320.00	94800.00	94800.00	94800.00	20.08
179224.35	179224.35	152340.70	179224.35	179224.35	179224.35	23
317377.78	315263.67	242753.03	315263.67	315263.67	304690.00	23.51
1024181.00	1024181.00	703248.12	599611.81	599611.81	599611.81	15
100000.00	100000.00	85000.00	100000.00	100000.00	100000.00	23
730783.65	730783.65	621166.10	730783.65	730783.65	730783.65	18.03
202819.00	202819.00	166258.85	202819.00	202819.00	197774.95	18.03
138910.50	138910.50	113870.49	138910.50	138910.50	0	18.03
143229.55	143229.55	117410.99	143229.55	143229.55	89992.33	18.03
110150.67	110150.67	90294.91	110150.67	110150.67	87776.39	18.03
53370.00	50000.00	42500.00	50000.00	50000.00	0	23.2
11528.89	12016.92	9157.80	11528.89	11528.89	11528.89	20.57
10961.67	11425.69	8691.42	10961.67	10961.67	10961.67	20.71
3584.43	3736.16	2834.57	3584.43	3584.43	3584.43	20.92
5521.48	5755.21	4366.39	5521.48	5521.48	5521.48	20.92
11040.87	11508.24	8731.12	11040.87	11040.87	11040.87	20.92
0	24836.00	0	0	0	0	23.79
0	36596.30	15733.56	34766.49	0	0	23.8
0	16635.48	0	0	0	0	23.76
0	46303.84	19631.35	43988.65	0	0	23.64
0	8433.27	0	0	0	0	23.61
0	41106.50	0	0	0	0	23.24
0	61942.94	0	0	0	0	23.54
0	2083.30	0	0	0	0	24
0	22729.49	0	0	0	0	22.56
7666.29	7990.81	6062.50	7666.29	7666.29	7666.29	20.92
11961.76	12468.12	9459.36	11961.76	11961.76	11961.76	20.92
10419.78	10860.86	8239.96	10419.78	10419.78	10419.78	20.92
0	6207.58	2621.03	5897.20	0	0	23.89
6918.56	7211.43	5471.20	6918.56	6918.56	6918.56	20.92
13170.34	13727.86	10415.10	13170.34	13170.34	13170.34	20.92
16368.78	17061.69	12944.43	16368.78	16368.78	16368.78	20.92
16749.07	17458.08	13245.16	16749.06	16749.06	16749.06	20.92
176055.85	157464.64	144365.80	176055.85	176055.85	176055.85	18
79225.67	82259.82	62651.66	79225.67	79225.67	79225.67	20.92
0	248585.24	152180.68	174009.67	133372.99	133372.99	21.48
0	467909.84	206102.21	421118.86	140372.95	140372.95	19.98
0	378923.85	430000.00	378923.85	378923.85	378923.85	20.05
473146.86	540130.70	415395.60	525000.00	473146.86	473146.86	25.89
0	360000.00	278597.00	555700.00	555700.00	555700.00	22.61
0	136155.60	103478.26	95308.92	153324.42	153324.42	24
171000.00	171000.00	124830.00	171000.00	171000.00	171000.00	26.7
220850.08	220932.51	157925.48	220932.00	220932.51	220932.51	23.67
223877.27	247441.53	152443.99	247441.00	247441.53	247441.53	24.32
296000.00	296000.00	216080.00	296000.00	296000.00	296000.00	34
203300.00	203300.00	143869.60	203300.00	203300.00	203300.00	29.6
224000.00	224000.00	157696.00	224000.00	224000.00	224000.00	29.6
201200.00	201200.00	141644.80	201200.00	201200.00	201200.00	29.6
322100.00	322100.00	226758.40	322100.00	322100.00	322100.00	29.6
167800.00	167800.00	118131.20	167800.00	167800.00	167800.00	29.6
75900.00	75900.00	55527.00	75900.00	75900.00	75900.00	29.6
121000.00	121000.00	89010.00	121000.00	121000.00	121000.00	26.44
45600.00	45600.00	32102.40	45600.00	45600.00	29416.64	29.6
35000.00	35000.00	25550.00	35000.00	35000.00	35000.00	29.6
54000.00	54000.00	39000.00	54000.00	54000.00	54000.00	27.78
76000.00	76000.00	53504.00	76000.00	76000.00	76000.00	29.6
93000.00	93000.00	68960.00	93000.00	93000.00	93000.00	29.6
162000.00	162000.00	119065.80	162000.00	162000.00	162000.00	26.5
61000.00	61000.00	44530.00	61000.00	61000.00	61000.00	27
34300.00	34300.00	25813.00	34300.00	34300.00	34300.00	24.74
63000.00	63000.00	54325.36	63000.00	63000.00	63000.00	27
317793.33	340212.10	227789.23	340212.00	340212.00	340212.00	28.32
339958.36	339958.36	246553.39	339958.36	339958.36	339958.36	27.48
0	404174.07	1245668.63	1557313.37	1557313.37	1557313.37	21.24
0	227697.70	161006.68	204927.93	200609.60	304821.78	21.65
0	130945.52	85997.76	117850.97	91661.86	91661.86	18
0	626763.99	409073.20	564087.59	438734.80	438734.80	18
0	384464.03	248773.05	346017.63	357842.88	357842.88	18
0	890365.71	639321.47	841212.46	841212.46	841212.46	18
0	777000.00	503977.88	622690.00	622690.00	622690.00	19.06
272000.00	229565.00	159842.70	0	0	0	18.63
521600.00	416115.50	400989.37	521600.00	521600.00	521600.00	23.12
0	271824.11	172608.14	244641.70	0	0	18
71758.44	63905.73	44825.01	63905.73	74029.96	74029.96	25.74
191070.01	142445.60	99802.92	142445.60	197261.95	197261.95	25.78
171700.00	171700.00	135288.00	171700.00	171700.00	171700.00	21.21
123000.00	123000.00	86592.00	123000.00	123000.00	123000.00	29.6
44200.00	44200.00	29172.00	44200.00	44200.00	44200.00	34
135100.00	135100.00	93506.00	135100.00	135100.00	135100.00	30.79
0	3530000.00	3408563.98	3350403.12	3350403.12	3294276.12	11.67
174628.00	70000.00	53779.06	112478.00	0	0	23
0	538650.00	437059.50	538870.00	309701.00	538870.00	18.83
0	71042.01	33318.70	49729.41	63269.73	63269.73	18
0	219863.15	167992.89	197876.84	153904.21	153904.21	19.58
337981.82	356701.40	257064.77	356701.00	356701.40	356701.40	27.82
310788.14	318166.89	243233.00	318166.00	318166.89	318166.89	23.4
237968.54	245057.40	175664.44	245057.00	245057.40	245057.40	28.27
255302.71	264318.19	185022.73	264318.19	264318.19	264318.19	22.85
176747.14	182680.58	136363.95	182680.58	182680.58	182680.58	22.85
0	328818.95	216621.06	295937.06	230173.27	230173.27	20.67
0	378864.56	285626.00	378863.22	378863.22	378863.22	20.09
0	211871.40	169426.25	216760.74	92897.46	92897.46	20.03
381500.00	381500.00	301469.32	381500.00	381500.00	381500.00	20.98
157404.67	162272.86	113590.72	162272.86	176230.55	176230.55	30
281490.70	290196.60	174117.96	290196.60	335215.30	290196.60	25.74
941978.03	1007990.00	584954.20	1007990.00	1007990.00	1007990.00	22.85
47731.17	49177.92	34487.50	49177.92	49177.92	49177.92	29
273754.33	247500.00	213495.88	273754.33	273754.33	273754.33	22.01
313000.00	313000.00	220352.00	313000.00	313000.00	313000.00	29.6
176300.00	207000.00	124115.20	207000.00	207000.00	207000.00	29.6
166900.00	166900.00	119793.60	166900.00	166900.00	166900.00	28.22
187787.21	192917.50	144399.72	192917.50	192917.50	192917.50	22.85
405761.80	426868.67	342501.25	426868.00	426868.67	426868.67	19.51
244107.88	251313.15	191487.79	251313.00	251313.15	251313.15	25.74
127214.39	137694.58	98148.45	137694.58	137694.58	137694.58	22.85
286907.30	298673.59	221437.36	298673.59	298673.59	298673.59	22.85
69463.29	71611.64	45493.38	71611.54	0	0	26
